Model,Condition,Accuracy,Precision,Recall,F1 Score
svm,original,0.9989,0.9992,0.9992,0.9992
sgd,original,0.9989,0.9992,0.9992,0.9992
random_forest,original,0.9966,0.9975,0.9975,0.9975
xgboost,original,0.9978,0.9983,0.9983,0.9983
svm,gaussian,0.9989,0.9992,0.9992,0.9992
sgd,gaussian,0.9989,0.9992,0.9992,0.9992
random_forest,gaussian,0.9966,0.9975,0.9975,0.9975
xgboost,gaussian,0.9978,0.9983,0.9983,0.9983
svm,jpeg,0.9989,0.9992,0.9992,0.9992
sgd,jpeg,0.9989,0.9992,0.9992,0.9992
random_forest,jpeg,0.9955,0.9967,0.9966,0.9966
xgboost,jpeg,0.9966,0.9975,0.9975,0.9975
svm,dpi,0.7237,0.872,0.7931,0.7708
sgd,dpi,0.9787,0.9842,0.984,0.984
random_forest,dpi,0.9161,0.9453,0.9372,0.9366
xgboost,dpi,0.9642,0.9732,0.9706,0.9719
svm,crop,0.5951,0.8171,0.6968,0.6206
sgd,crop,0.66,0.7924,0.7453,0.7186
random_forest,crop,0.6074,0.7874,0.706,0.646
xgboost,crop,0.6723,0.7977,0.732,0.7254
svm,bitdepth,0.9989,0.9992,0.9992,0.9992
sgd,bitdepth,0.9698,0.9291,0.9773,0.9487
random_forest,bitdepth,0.9955,0.9967,0.9966,0.9966
xgboost,bitdepth,0.9855,0.9671,0.9891,0.9774
